Tijdstempel,Date,Action,Symbol,Bought Price,Broker Fee,Market Price,Coins received,Broker,Amount of Coins
29-3-2021 20:21:20,29-3-2021,Stake,BTC,0,,,"0,00000693",Bitvavo,"0,00000693"
29-3-2021 20:34:03,29-3-2021,Stake,ETH,0,,,"0,00017545",Bitvavo,"0,00017545"
29-3-2021 20:35:20,29-3-2021,Stake,ADA,0,,,"0,32757",Bitvavo,"0,32757"
30-3-2021 15:18:22,30-3-2021,Bought,ETH,10,"0,0249",1569,"0,006357616316",Bitvavo,"0,006357616316"
30-3-2021 18:59:51,30-3-2021,Bought,ADA,40,"0,0998","1,0347","38,56209529",Bitvavo,"38,56209529"
31-3-2021 19:08:35,31-3-2021,Bought,ADA,50,"0,1247","1,0053","49,61235452",Bitvavo,"49,61235452"
1-4-2021 10:45:11,1-4-2021,Bought,ADA,"0,11","0,0003","1,0238","0,107149834",Bitvavo,"0,107149834"
5-4-2021 15:30:25,5-4-2021,Bought,TRX,50,"0,1247","0,11239","443,7699084",Bitvavo,"443,7699084"
6-4-2021 18:21:26,5-4-2021,Stake,BTC,0,,,"0,00000694",Bitvavo,"0,00000694"
6-4-2021 18:23:02,5-4-2021,Stake,ETH,0,,,"0,00018806",Bitvavo,"0,00018806"
6-4-2021 18:23:47,5-4-2021,Stake,XRP,0,,,"0,020172",Bitvavo,"0,020172"
6-4-2021 18:24:21,5-4-2021,Stake,ADA,0,,,"0,420768",Bitvavo,"0,420768"
6-4-2021 19:02:38,6-4-2021,Bought,HOT,100,"0,2494","0,021144","4717,678774",Bitvavo,"4717,678774"
7-4-2021 9:52:40,7-4-2021,Bought,ETH,200,"0,4988","1755,8","0,113624103",Bitvavo,"0,113624103"
7-4-2021 9:54:28,7-4-2021,Bought,TRX,"50,17","0,1251","0,096803","516,9767466",Bitvavo,"516,9767466"
7-4-2021 18:45:18,7-4-2021,Stake,ADA,0,,,"3,9305607",Binance,"3,9305607"
7-4-2021 19:41:02,7-4-2021,Stake,BTC,0,,,"0,000004",Binance,"0,000004"
10-4-2021 9:10:05,10-4-2021,Bought,ETH,100,"0,2494","1797,8",,Bitvavo,"0,05548481477"
10-4-2021 9:47:24,10-4-2021,Bought,ETH,650,"1,3721","1789,6",,Bitvavo,"0,3624429481"
13-4-2021 17:59:09,12-4-2021,Stake,ETH,0,,,"0,00023449",Bitvavo,"0,00023449"
13-4-2021 17:59:46,12-4-2021,Stake,BTC,0,,,"0,00000694",Bitvavo,"0,00000694"
13-4-2021 18:00:17,12-4-2021,Stake,ADA,0,,,"0,451447",Bitvavo,"0,451447"
13-4-2021 18:00:51,12-4-2021,Stake,TRX,0,,,"0,383171",Bitvavo,"0,383171"
16-4-2021 16:52:01,16-4-2021,Bought,DOGE,50,0,"0,31",,Binance,"161,2903226"
17-4-2021 19:58:44,17-4-2021,Bought,XLM,50,"0,1247","0,9072",,Bitvavo,"54,97718254"
20-4-2021 18:44:20,19-4-2021,Stake,ETH,0,,,"0,00038374",Bitvavo,"0,00038374"
20-4-2021 18:44:57,19-4-2021,Stake,BTC,0,,,"0,00000694",Bitvavo,"0,00000694"
20-4-2021 18:45:36,19-4-2021,Stake,ADA,0,,,"0,45187",Bitvavo,"0,45187"
20-4-2021 18:46:20,19-4-2021,Stake,TRX,0,,,"0,545",Bitvavo,"0,545"
24-4-2021 15:32:59,24-4-2021,Bought,ETH,100,"0,2494","1860,3",,Bitvavo,"0,05362070634"
24-4-2021 15:33:49,24-4-2021,Bought,BTC,100,"0,2494",41307,,Bitvavo,"0,002414859467"
26-4-2021 19:16:27,26-4-2021,Stake,ETH,0,,,"0,00038669",Bitvavo,"0,00038669"
26-4-2021 19:17:51,26-4-2021,Stake,BTC,0,,,"0,00000702",Bitvavo,"0,00000702"
26-4-2021 19:18:33,26-4-2021,Stake,TRX,0,,,"0,545309",Bitvavo,"0,545309"
26-4-2021 19:19:02,26-4-2021,Stake,ADA,0,,,"0,452293",Bitvavo,"0,452293"
27-4-2021 12:51:58,27-4-2021,Bought,BTC,"6,46","0,02",45346,,Bitvavo,"0,0001420191417"
27-4-2021 12:52:36,27-4-2021,Bought,BTC,"192,66","0,49",45346,,Bitvavo,"0,00423786001"
29-4-2021 10:52:36,29-4-2021,Stake,ADA,0,,,"5,16259902",Binance,"5,16259902"
15-5-2021 9:57:34,10-5-2021,Stake,ETH,0,,,"0,00040383",Bitvavo,"0,00040383"
15-5-2021 9:59:01,10-5-2021,Stake,BTC,0,,,"0,00000853",Bitvavo,"0,00000853"
15-5-2021 10:00:08,10-5-2021,Stake,ADA,0,,,"0,45314",Bitvavo,"0,45314"
15-5-2021 10:01:00,10-5-2021,Stake,TRX,0,,,"0,545928",Bitvavo,"0,545928"
17-5-2021 14:24:26,17-5-2021,Stake,ETH,0,,,"0,00040398",Bitvavo,"0,00040398"
17-5-2021 14:25:16,17-5-2021,Stake,BTC,0,,,"0,00000853",Bitvavo,"0,00000853"
17-5-2021 14:26:07,17-5-2021,Stake,ADA,0,,,"0,453564",Bitvavo,"0,453564"
17-5-2021 14:26:59,17-5-2021,Stake,TRX,0,,,"0,546238",Bitvavo,"0,546238"
23-5-2021 16:01:02,23-5-2021,Bought,BTC,150,"0,3741",27753,,Bitvavo,"0,005391341477"
23-5-2021 16:02:10,23-5-2021,Bought,ETH,50,"0,1247","1624,7",,Bitvavo,"0,03069815966"
29-5-2021 13:04:31,24-5-2021,Stake,ETH,0,,,"0,00040413",Bitvavo,"0,00040413"
29-5-2021 13:06:13,24-5-2021,Stake,BTC,0,,,"0,00000853",Bitvavo,"0,00000853"
29-5-2021 13:07:02,24-5-2021,Stake,ADA,0,,,"0,453989",Bitvavo,"0,453989"
29-5-2021 13:07:32,24-5-2021,Stake,TRX,0,,,"0,546547",Bitvavo,"0,546547"
5-6-2021 11:16:14,31-5-2021,Stake,ETH,0,,,"0,00041553",Bitvavo,"0,00041553"
5-6-2021 11:16:51,31-5-2021,Stake,BTC,0,,,"0,00000979",Bitvavo,"0,00000979"
5-6-2021 11:17:37,31-5-2021,Stake,ADA,0,,,"0,454414",Bitvavo,"0,454414"
5-6-2021 11:18:19,31-5-2021,Stake,TRX,0,,,"0,546857",Bitvavo,"0,546857"
15-6-2021 9:37:44,7-6-2021,Stake,ETH,0,,,"0,00041569",Bitvavo,"0,00041569"
15-6-2021 9:38:29,7-6-2021,Stake,BTC,0,,,"0,00000979",Bitvavo,"0,00000979"
15-6-2021 9:39:07,7-6-2021,Stake,ADA,0,,,"0,454839",Bitvavo,"0,454839"
15-6-2021 9:39:48,7-6-2021,Stake,TRX,0,,,"0,547167",Bitvavo,"0,547167"
15-6-2021 9:41:45,14-6-2021,Stake,ETH,0,,,"0,00041584",Bitvavo,"0,00041584"
15-6-2021 9:42:26,14-6-2021,Stake,BTC,0,,,"0,00000979",Bitvavo,"0,00000979"
15-6-2021 9:42:59,14-6-2021,Stake,ADA,0,,,"0,455265",Bitvavo,"0,455265"
15-6-2021 9:43:29,14-6-2021,Stake,TRX,0,,,"0,547478",Bitvavo,"0,547478"
23-6-2021 14:49:28,21-6-2021,Stake,ETH,0,,,"0,00041599",Bitvavo,"0,00041599"
23-6-2021 14:50:03,21-6-2021,Stake,BTC,0,,,"0,00000979",Bitvavo,"0,00000979"
23-6-2021 14:51:07,21-6-2021,Stake,ADA,0,,,"0,455691",Bitvavo,"0,455691"
23-6-2021 14:51:46,21-6-2021,Stake,TRX,0,,,"0,547788",Bitvavo,"0,547788"
1-7-2021 14:19:52,28-6-2021,Stake,ETH,0,,,"0,00041614",Bitvavo,"0,00041614"
1-7-2021 14:20:56,28-6-2021,Stake,BTC,0,,,"0,00000979",Bitvavo,"0,00000979"
1-7-2021 14:21:29,28-6-2021,Stake,ADA,0,,,"0,456118",Bitvavo,"0,456118"
1-7-2021 14:22:03,28-6-2021,Stake,TRX,0,,,"0,548099",Bitvavo,"0,548099"
5-7-2021 21:38:36,5-7-2021,Stake,TRX,0,,,"0,548409",Bitvavo,"0,548409"
5-7-2021 21:39:08,5-7-2021,Stake,ADA,0,,,"0,456545",Bitvavo,"0,456545"
5-7-2021 21:40:03,5-7-2021,Stake,BTC,0,,,"0,0000098",Bitvavo,"0,0000098"
5-7-2021 21:40:35,5-7-2021,Stake,ETH,0,,,"0,0004163",Bitvavo,"0,0004163"
18-7-2021 9:34:25,12-7-2021,Stake,ETH,0,,,"0,00041645",Bitvavo,"0,00041645"
18-7-2021 9:35:14,12-7-2021,Stake,BTC,0,,,"0,0000098",Bitvavo,"0,0000098"
18-7-2021 9:35:49,12-7-2021,Stake,ADA,0,,,"0,456972",Bitvavo,"0,456972"
18-7-2021 9:37:44,12-7-2021,Stake,TRX,0,,,"0,54872",Bitvavo,"0,54872"
19-7-2021 18:55:51,19-7-2021,Stake,ETH,0,,,"0,0004166",Bitvavo,"0,0004166"
19-7-2021 18:56:49,19-7-2021,Stake,BTC,0,,,"0,0000098",Bitvavo,"0,0000098"
19-7-2021 18:57:39,19-7-2021,Stake,ADA,0,,,"0,4574",Bitvavo,"0,4574"
19-7-2021 18:58:16,19-7-2021,Stake,TRX,0,,,"0,549032",Bitvavo,"0,549032"
13-12-2021 22:49:29,13-12-2021,Stake,ADA,0,,,"24,18",Bitvavo,"24,18"
5-1-2022 19:16:35,13-12-2021,Bought,MANA,,,,19,Binance,19
5-1-2022 19:17:35,5-1-2022,Bought,UNI,,,,"1,2",Binance,"1,2"
5-1-2022 19:18:06,5-1-2022,Bought,BNB,,,,"0,03678349",Binance,"0,03678349"
5-1-2022 19:22:51,5-1-2022,Bought,SHIB,,,,"1419096,07",Binance,"1419096,07"
5-1-2022 19:27:41,5-1-2022,Stake,ADA,0,,,"245,6101044",Binance,"245,6101044"
4-6-2022 12:14:10,16-1-2022,Bought,LBlock,,,,"515789,4",Other,"515789,4"
4-6-2022 12:47:07,4-6-2022,Stake,SHIB,0,,,"17605,62",Binance,"17605,62"
4-6-2022 12:56:19,4-6-2022,Stake,XRP,0,,,"97,884978",Bitvavo,"97,884978"
4-6-2022 12:58:18,30-5-2022,Stake,TRX,0,,,"9,6166391",Bitvavo,"9,6166391"
4-6-2022 13:00:02,20-11-2021,Bought,MANA,50,,,"13,77618818",Bitvavo,"13,77618818"
4-6-2022 13:04:43,23-12-2020,Stake,BAT,0,,,"22,8426101",Bitvavo,"22,8426101"
