"accountId";"comment";"fee";"quantity";"type";"unitPrice";"currency";"dataSource";"date";"symbol"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"0.19";"EUR";"MANUAL";"2023-01-17T07:34:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"0.21";"USD";"MANUAL";"2023-01-17T07:34:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: NL0011821202 - Dividend:  - dividendTax: -0.01";"0.01";"1";"DIVIDEND";"0.08";"EUR";"YAHOO";"2023-01-17T06:58:00.000Z";"INGA.AS"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US7561091049 - Dividend:  - dividendTax: -0.04";"0.04";"1";"DIVIDEND";"0.25";"USD";"YAHOO";"2023-01-16T07:18:00.000Z";"O"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"1.59";"EUR";"MANUAL";"2023-01-14T08:32:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"1.73";"USD";"MANUAL";"2023-01-14T08:32:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US58463J3041 - Dividend:  - dividendTax: -0.30";"0.3";"1";"DIVIDEND";"2.03";"USD";"YAHOO";"2023-01-13T07:24:00.000Z";"MPW"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"1.48";"EUR";"MANUAL";"2023-01-12T07:34:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"1.6";"USD";"MANUAL";"2023-01-12T07:34:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US02209S1033 - Dividend:  - dividendTax: -0.28";"0.28";"1";"DIVIDEND";"1.88";"USD";"YAHOO";"2023-01-11T07:02:00.000Z";"MO"
"0986e828-5c89-4497-8d08-445f35563bbf";"DEGIRO Aansluitingskosten 2023 (New York Stock Exchange - NSY)";"0";"1";"FEE";"2.3";"EUR";"MANUAL";"2023-01-03T13:59:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"DEGIRO Aansluitingskosten 2023 (NASDAQ - NDQ)";"0";"1";"FEE";"2.3";"EUR";"MANUAL";"2023-01-03T13:59:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"DEGIRO Aansluitingskosten 2023 (Borse Frankfurt - FRA)";"0";"1";"FEE";"2.3";"EUR";"MANUAL";"2023-01-03T13:59:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"0.35";"EUR";"MANUAL";"2023-01-03T07:41:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"0.37";"USD";"MANUAL";"2023-01-03T07:41:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US0605051046 - Dividend:  - dividendTax: -0.07";"0.07";"1";"DIVIDEND";"0.44";"USD";"YAHOO";"2023-01-02T07:49:00.000Z";"BAC"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"0.2";"EUR";"MANUAL";"2022-12-17T08:39:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"0.21";"USD";"MANUAL";"2022-12-17T08:39:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US7561091049 - Dividend:  - dividendTax: -0.04";"0.04";"1";"DIVIDEND";"0.25";"USD";"YAHOO";"2022-12-16T07:24:00.000Z";"O"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US58463J3041 - Valuta Creditering";"0";"1";"FEE";"38.03";"USD";"MANUAL";"2022-11-28T21:45:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US58463J3041 - Valuta Debitering";"0";"1";"FEE";"36.87";"EUR";"MANUAL";"2022-11-28T21:45:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US58463J3041 - Koop 3 @ 12,6753 USD";"1";"3";"BUY";"12.677";"USD";"YAHOO";"2022-11-28T21:45:00.000Z";"MPW"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"0.2";"EUR";"MANUAL";"2022-11-17T08:25:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"0.21";"USD";"MANUAL";"2022-11-17T08:25:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"0.77";"EUR";"MANUAL";"2022-11-16T07:32:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"0.8";"USD";"MANUAL";"2022-11-16T07:32:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US7561091049 - Dividend:  - dividendTax: -0.04";"0.04";"1";"DIVIDEND";"0.25";"USD";"YAHOO";"2022-11-16T07:19:00.000Z";"O"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US6826801036 - Dividend:  - dividendTax: -0.14";"0.14";"1";"DIVIDEND";"0.94";"USD";"YAHOO";"2022-11-15T07:04:00.000Z";"OKE"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"3.29";"EUR";"MANUAL";"2022-11-03T07:38:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"3.24";"USD";"MANUAL";"2022-11-03T07:38:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US92343V1044 - Dividend:  - dividendTax: -0.20";"0.2";"1";"DIVIDEND";"1.31";"USD";"YAHOO";"2022-11-02T09:29:00.000Z";"VZ"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US00206R1023 - Dividend:  - dividendTax: -0.37";"0.37";"1";"DIVIDEND";"2.5";"USD";"YAHOO";"2022-11-02T08:23:00.000Z";"T"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"0.22";"EUR";"MANUAL";"2022-10-17T07:33:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"0.21";"USD";"MANUAL";"2022-10-17T07:33:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US7561091049 - Dividend:  - dividendTax: -0.04";"0.04";"1";"DIVIDEND";"0.25";"USD";"YAHOO";"2022-10-16T04:18:00.000Z";"O"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"1.02";"EUR";"MANUAL";"2022-10-15T07:36:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"0.99";"USD";"MANUAL";"2022-10-15T07:36:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US58463J3041 - Dividend:  - dividendTax: -0.17";"0.17";"1";"DIVIDEND";"1.16";"USD";"YAHOO";"2022-10-14T07:18:00.000Z";"MPW"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"1.64";"EUR";"MANUAL";"2022-10-13T07:34:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"1.6";"USD";"MANUAL";"2022-10-13T07:34:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US02209S1033 - Dividend:  - dividendTax: -0.28";"0.28";"1";"DIVIDEND";"1.88";"USD";"YAHOO";"2022-10-12T07:13:00.000Z";"MO"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"0.38";"EUR";"MANUAL";"2022-10-04T07:38:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"0.37";"USD";"MANUAL";"2022-10-04T07:38:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"DEGIRO Aansluitingskosten 2022 (New York Stock Exchange - NSY)";"0";"1";"FEE";"0.05";"EUR";"MANUAL";"2022-10-03T09:03:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"DEGIRO Aansluitingskosten 2022 (NASDAQ - NDQ)";"0";"1";"FEE";"0.05";"EUR";"MANUAL";"2022-10-03T09:03:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"DEGIRO Aansluitingskosten 2022 (Borse Frankfurt - FRA)";"0";"1";"FEE";"0.05";"EUR";"MANUAL";"2022-10-03T09:03:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US0605051046 - Dividend:  - dividendTax: -0.07";"0.07";"1";"DIVIDEND";"0.44";"USD";"YAHOO";"2022-10-03T07:24:00.000Z";"BAC"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: NL0011540547 - Dividend:  - dividendTax: -0.24";"0.24";"1";"DIVIDEND";"1.6";"EUR";"YAHOO";"2022-09-13T07:33:00.000Z";"ABN.AS"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US7561091049 - Valuta Creditering";"0";"1";"FEE";"66.4";"USD";"MANUAL";"2022-09-09T15:30:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US7561091049 - Valuta Debitering";"0";"1";"FEE";"66.24";"EUR";"MANUAL";"2022-09-09T15:30:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US7561091049 - Koop 1 @ 66,4 USD";"1";"1";"BUY";"66.4";"USD";"YAHOO";"2022-09-09T15:30:00.000Z";"O"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: NL0011794037 - Dividend:  - dividendTax: -0.14";"0.14";"1";"DIVIDEND";"0.92";"EUR";"YAHOO";"2022-09-02T10:54:00.000Z";"AD.AS"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US58463J3041 - Valuta Creditering";"0";"1";"FEE";"61.2";"USD";"MANUAL";"2022-08-25T15:30:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US58463J3041 - Valuta Debitering";"0";"1";"FEE";"61.56";"EUR";"MANUAL";"2022-08-25T15:30:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US58463J3041 - Koop 4 @ 15,3 USD";"0.5";"4";"BUY";"15.3";"USD";"YAHOO";"2022-08-25T15:30:00.000Z";"MPW"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"0.78";"EUR";"MANUAL";"2022-08-17T07:32:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"0.8";"USD";"MANUAL";"2022-08-17T07:32:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US6826801036 - Dividend:  - dividendTax: -0.14";"0.14";"1";"DIVIDEND";"0.94";"USD";"YAHOO";"2022-08-16T07:22:00.000Z";"OKE"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: NL0011821202 - Dividend:  - dividendTax: -0.03";"0.03";"1";"DIVIDEND";"0.17";"EUR";"YAHOO";"2022-08-15T09:55:00.000Z";"INGA.AS"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"3.13";"EUR";"MANUAL";"2022-08-02T07:32:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"3.22";"USD";"MANUAL";"2022-08-02T07:32:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US00206R1023 - Dividend:  - dividendTax: -0.37";"0.37";"1";"DIVIDEND";"2.5";"USD";"YAHOO";"2022-08-01T10:12:00.000Z";"T"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US92343V1044 - Dividend:  - dividendTax: -0.19";"0.19";"1";"DIVIDEND";"1.28";"USD";"YAHOO";"2022-08-01T08:45:00.000Z";"VZ"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"1.52";"EUR";"MANUAL";"2022-07-13T07:33:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"1.53";"USD";"MANUAL";"2022-07-13T07:33:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US02209S1033 - Dividend:  - dividendTax: -0.27";"0.27";"1";"DIVIDEND";"1.8";"USD";"YAHOO";"2022-07-12T08:41:00.000Z";"MO"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"0.34";"EUR";"MANUAL";"2022-06-28T07:35:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"0.36";"USD";"MANUAL";"2022-06-28T07:35:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US0605051046 - Dividend:  - dividendTax: -0.06";"0.06";"1";"DIVIDEND";"0.42";"USD";"YAHOO";"2022-06-27T07:12:00.000Z";"BAC"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: NL0011540547 - Dividend:  - dividendTax: -0.46";"0.46";"1";"DIVIDEND";"3.05";"EUR";"YAHOO";"2022-05-19T10:24:00.000Z";"ABN.AS"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: NL0011821202 - Dividend:  - dividendTax: -0.03";"0.03";"1";"DIVIDEND";"0.23";"EUR";"YAHOO";"2022-05-18T07:51:00.000Z";"INGA.AS"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"0.76";"EUR";"MANUAL";"2022-05-18T07:34:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"0.8";"USD";"MANUAL";"2022-05-18T07:34:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US6826801036 - Dividend:  - dividendTax: -0.14";"0.14";"1";"DIVIDEND";"0.94";"USD";"YAHOO";"2022-05-17T09:36:00.000Z";"OKE"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: NL0011821202 - Dividend:  - dividendTax: -0.06";"0.06";"1";"DIVIDEND";"0.41";"EUR";"YAHOO";"2022-05-09T10:58:00.000Z";"INGA.AS"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"3.05";"EUR";"MANUAL";"2022-05-03T08:17:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"3.22";"USD";"MANUAL";"2022-05-03T08:17:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US00206R1023 - Dividend:  - dividendTax: -0.37";"0.37";"1";"DIVIDEND";"2.5";"USD";"YAHOO";"2022-05-02T07:51:00.000Z";"T"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US92343V1044 - Dividend:  - dividendTax: -0.19";"0.19";"1";"DIVIDEND";"1.28";"USD";"YAHOO";"2022-05-02T07:38:00.000Z";"VZ"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"1.44";"EUR";"MANUAL";"2022-04-30T07:33:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"1.53";"USD";"MANUAL";"2022-04-30T07:33:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US02209S1033 - Dividend:  - dividendTax: -0.27";"0.27";"1";"DIVIDEND";"1.8";"USD";"YAHOO";"2022-04-29T13:52:00.000Z";"MO"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: NL0011794037 - Dividend:  - dividendTax: -0.16";"0.16";"1";"DIVIDEND";"1.04";"EUR";"YAHOO";"2022-04-29T07:51:00.000Z";"AD.AS"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"4.12";"EUR";"MANUAL";"2022-04-21T07:33:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"4.49";"USD";"MANUAL";"2022-04-21T07:33:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US00206R1023 - Verrekening van Aandelen";"0";"1";"FEE";"4.49";"USD";"MANUAL";"2022-04-20T15:19:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"3.73";"EUR";"MANUAL";"2022-04-15T08:16:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"4.04";"USD";"MANUAL";"2022-04-15T08:16:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US00206R1023 - Verrekening van Aandelen";"0";"1";"FEE";"4.04";"USD";"MANUAL";"2022-04-14T10:32:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"3.69";"EUR";"MANUAL";"2022-04-14T07:32:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"4.04";"USD";"MANUAL";"2022-04-14T07:32:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US00206R1023 - Verrekening van Aandelen";"0";"1";"FEE";"4.04";"USD";"MANUAL";"2022-04-13T10:22:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"0.32";"EUR";"MANUAL";"2022-03-29T08:33:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"0.36";"USD";"MANUAL";"2022-03-29T08:33:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US0605051046 - Dividend:  - dividendTax: -0.06";"0.06";"1";"DIVIDEND";"0.42";"USD";"YAHOO";"2022-03-28T08:13:00.000Z";"BAC"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"0.7";"EUR";"MANUAL";"2022-02-16T07:36:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"0.8";"USD";"MANUAL";"2022-02-16T07:36:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US6826801036 - Dividend:  - dividendTax: -0.14";"0.14";"1";"DIVIDEND";"0.94";"USD";"YAHOO";"2022-02-15T07:28:00.000Z";"OKE"
"0986e828-5c89-4497-8d08-445f35563bbf";"DEGIRO Aansluitingskosten 2022 (New York Stock Exchange - NSY)";"0";"1";"FEE";"2.4";"EUR";"MANUAL";"2022-02-03T10:00:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"DEGIRO Aansluitingskosten 2022 (NASDAQ - NDQ)";"0";"1";"FEE";"2.4";"EUR";"MANUAL";"2022-02-03T10:00:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"DEGIRO Aansluitingskosten 2022 (Borse Frankfurt - FRA)";"0";"1";"FEE";"2.4";"EUR";"MANUAL";"2022-02-03T10:00:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"4.48";"EUR";"MANUAL";"2022-02-02T07:40:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"5.07";"USD";"MANUAL";"2022-02-02T07:40:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US92343V1044 - Dividend:  - dividendTax: -0.19";"0.19";"1";"DIVIDEND";"1.28";"USD";"YAHOO";"2022-02-01T08:03:00.000Z";"VZ"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US00206R1023 - Dividend:  - dividendTax: -0.70";"0.7";"1";"DIVIDEND";"4.68";"USD";"YAHOO";"2022-02-01T07:57:00.000Z";"T"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"1.34";"EUR";"MANUAL";"2022-01-12T07:36:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"1.53";"USD";"MANUAL";"2022-01-12T07:36:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US02209S1033 - Dividend:  - dividendTax: -0.27";"0.27";"1";"DIVIDEND";"1.8";"USD";"YAHOO";"2022-01-11T07:53:00.000Z";"MO"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"0.31";"EUR";"MANUAL";"2022-01-04T07:44:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"0.36";"USD";"MANUAL";"2022-01-04T07:44:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US0605051046 - Dividend:  - dividendTax: -0.06";"0.06";"1";"DIVIDEND";"0.42";"USD";"YAHOO";"2022-01-03T08:50:00.000Z";"BAC"
"0986e828-5c89-4497-8d08-445f35563bbf";"DEGIRO Aansluitingskosten 2021 (New York Stock Exchange - NSY)";"0";"1";"FEE";"0.06";"EUR";"MANUAL";"2021-12-02T07:28:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"DEGIRO Aansluitingskosten 2021 (NASDAQ - NDQ)";"0";"1";"FEE";"0.06";"EUR";"MANUAL";"2021-12-02T07:28:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"DEGIRO Aansluitingskosten 2021 (Borse Frankfurt - FRA)";"0";"1";"FEE";"0.06";"EUR";"MANUAL";"2021-12-02T07:28:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"0.7";"EUR";"MANUAL";"2021-11-17T07:35:00.000Z";"Fee"
